measure,readmission_weight,mortality_weight
CMR_AIDS,5,-4
CMR_ALCOHOL,3,-1
CMR_ANEMDEF,5,-3
CMR_AUTOIMMUNE,2,0
CMR_BLDLOSS,2,-4
CMR_CANCER_LEUK,10,9
CMR_CANCER_LYMPH,7,5
CMR_CANCER_METS,11,22
CMR_CANCER_NSITU,0,0
CMR_CANCER_SOLID,7,10
CMR_CBVD,0,5
CMR_COAG,3,14
CMR_DEMENTIA,1,5
CMR_DEPRESS,2,-8
CMR_DIAB_CX,4,-2
CMR_DIAB_UNCX,0,0
CMR_DRUG_ABUSE,6,-7
CMR_HF,7,14
CMR_HTN_CX,0,1
CMR_HTN_UNCX,0,0
CMR_LIVER_MLD,3,2
CMR_LIVER_SEV,10,16
CMR_LUNG_CHRONIC,4,2
CMR_NEURO_MOVT,1,-1
CMR_NEURO_OTH,2,22
CMR_NEURO_SEIZ,5,2
CMR_OBESE,-2,-7
CMR_PARALYSIS,3,4
CMR_PERIVASC,1,3
CMR_PSYCHOSES,6,-9
CMR_PULMCIRC,3,4
CMR_RENLFL_MOD,4,3
CMR_RENLFL_SEV,8,7
CMR_THYROID_HYPO,0,-3
CMR_THYROID_OTH,0,-8
CMR_ULCER_PEPTIC,2,0
CMR_VALVE,0,0
CMR_WGHTLOSS,6,13
